iter	Passed	Remaining
0	156	156283
1	168	84246
2	190	63405
3	207	51635
4	226	45056
5	243	40407
6	260	37016
7	282	34997
8	299	32982
9	316	31322
10	334	30039
11	352	28982
12	371	28181
13	391	27544
14	419	27558
15	447	27551
16	475	27470
17	500	27278
18	518	26779
19	540	26476
20	565	26345
21	596	26526
22	623	26502
23	652	26525
24	684	26688
25	715	26812
26	744	26815
27	763	26487
28	789	26443
29	809	26181
30	840	26263
31	867	26237
32	895	26229
33	915	26023
34	931	25672
35	949	25437
36	974	25351
37	991	25107
38	1022	25195
39	1048	25158
40	1074	25130
41	1096	25012
42	1120	24929
43	1141	24792
44	1162	24675
45	1201	24909
46	1227	24897
47	1261	25019
48	1294	25126
49	1316	25018
50	1337	24885
51	1356	24721
52	1376	24594
53	1397	24478
54	1415	24327
55	1437	24236
56	1455	24072
57	1474	23954
58	1492	23811
59	1518	23785
60	1551	23888
61	1585	23984
62	1601	23821
63	1626	23787
64	1645	23673
65	1669	23619
66	1690	23539
67	1718	23556
68	1736	23424
69	1763	23431
70	1790	23434
71	1819	23456
72	1844	23420
73	1868	23376
74	1904	23493
75	1934	23517
76	1969	23606
77	1993	23558
78	2014	23484
79	2032	23368
80	2054	23313
81	2084	23339
82	2101	23223
83	2121	23132
84	2137	23005
85	2153	22890
86	2173	22810
87	2192	22719
88	2217	22697
89	2234	22595
90	2263	22614
91	2283	22536
92	2303	22465
93	2322	22385
94	2350	22387
95	2365	22279
96	2388	22238
97	2405	22138
98	2425	22070
99	2440	21962
100	2458	21880
101	2475	21792
102	2509	21851
103	2529	21791
104	2550	21741
105	2572	21696
106	2597	21674
107	2623	21670
108	2642	21598
109	2661	21530
110	2689	21537
111	2713	21511
112	2736	21480
113	2757	21433
114	2777	21372
115	2797	21315
116	2819	21279
117	2839	21225
118	2858	21160
119	2882	21141
120	2910	21142
121	2937	21142
122	2961	21119
123	2988	21113
124	3013	21096
125	3040	21088
126	3058	21024
127	3078	20974
128	3097	20914
129	3114	20845
130	3132	20782
131	3149	20710
132	3166	20642
133	3183	20573
134	3204	20529
135	3234	20545
136	3256	20514
137	3280	20489
138	3306	20478
139	3329	20450
140	3348	20399
141	3369	20359
142	3392	20332
143	3416	20307
144	3431	20233
145	3448	20168
146	3461	20087
147	3476	20012
148	3488	19926
149	3502	19845
150	3517	19775
151	3541	19755
152	3561	19717
153	3582	19679
154	3602	19636
155	3616	19566
156	3626	19470
157	3635	19376
158	3646	19286
159	3660	19216
160	3672	19137
161	3683	19053
162	3700	19000
